,ID,SerialNumber,ListYear,DateRecorded,Town,Address,AssessedValue,SaleAmount,SalesRatio,PropertyType,ResidentialType,NonUseCode,Remarks
26,27,100027,2010,07/11/2011 12:00:00 AM,Andover,11 DOGWOOD DRIVE,348600,450000.0,0.7746666666666658,Residential,Single Family,,
62,63,100024,2010,05/31/2011 12:00:00 AM,Andover,126 SHODDY MILL ROAD,58600,85000.0,0.6894117647058821,Vacant Land,,01,
66,67,100003,2010,10/27/2010 12:00:00 AM,Andover,127 WALES ROAD,152700,205000.0,0.7448780487804879,Residential,Single Family,,
67,68,100021,2010,06/02/2011 12:00:00 AM,Andover,128 WALES ROAD,132600,145500.0,0.9113402061855671,Residential,Single Family,01,
81,82,100002,2010,10/13/2010 12:00:00 AM,Andover,14 TIMES FARM ROAD,272700,280500.0,0.972192513368984,Residential,Single Family,,
100,101,100025,2010,08/15/2011 12:00:00 AM,Andover,15 GILEAD ROAD,120900,175000.0,0.690857142857143,Residential,Single Family,,
136,137,100028,2010,07/18/2011 12:00:00 AM,Andover,17 MATHIESON DRIVE,134100,142225.0,0.942872209527158,Residential,Single Family,,
186,187,100010,2010,02/14/2011 12:00:00 AM,Andover,209 BUNKER HILL ROAD,238600,129900.0,1.83679753656659,Residential,Single Family,14,
211,212,100007,2010,12/06/2010 12:00:00 AM,Andover,224 LAKE ROAD,241500,434575.0,0.555715354081574,Residential,Single Family,,
212,213,100012,2010,03/07/2011 12:00:00 AM,Andover,226 BEAR SWAMP ROAD,165200,175000.0,0.9440000000000001,Residential,Single Family,14,
218,219,100001,2010,10/06/2010 12:00:00 AM,Andover,229 LONG HILL ROAD,202200,300000.0,0.674,Residential,Single Family,,
241,242,100005,2010,11/22/2010 12:00:00 AM,Andover,25 WEBSTER LANE,124400,150000.0,0.8293333333333341,Residential,Single Family,,
252,253,100020,2010,06/02/2011 12:00:00 AM,Andover,267 LONG HILL ROAD,162000,220000.0,0.736363636363636,Residential,Single Family,,
254,255,100017,2010,05/16/2011 12:00:00 AM,Andover,27 CIDER MILL ROAD,139100,177000.0,0.785875706214689,Residential,Single Family,,
307,308,100029,2010,08/01/2011 12:00:00 AM,Andover,332 HEBRON ROAD,321400,449000.0,0.715812917594655,Residential,Single Family,,
309,310,100006,2010,11/29/2010 12:00:00 AM,Andover,333 BOSTON HILL ROAD,178900,232900.0,0.7681408329755258,Residential,Single Family,,
332,333,100018,2010,05/02/2011 12:00:00 AM,Andover,35 BIRCH DRIVE,178000,208000.0,0.8557692307692311,Residential,Single Family,,
340,341,100026,2010,08/15/2011 12:00:00 AM,Andover,36 HENDEE ROAD,2000,2856.0,0.700280112044818,Vacant Land,,17,
358,359,100009,2010,12/15/2010 12:00:00 AM,Andover,38 ROUTE 87,106700,80000.0,1.33375,Residential,Single Family,26,
372,373,100016,2010,05/16/2011 12:00:00 AM,Andover,4 HICKORY HILL DRIVE,129000,129000.0,1.0,Residential,Single Family,,
431,432,100008,2010,12/20/2010 12:00:00 AM,Andover,55 BAUSOLA ROAD,166500,175000.0,0.9514285714285708,Residential,Single Family,,
455,456,100022,2010,05/23/2011 12:00:00 AM,Andover,60 WEST STREETREET,209600,265000.0,0.7909433962264151,Residential,Single Family,25,
456,457,100023,2010,05/23/2011 12:00:00 AM,Andover,60 WEST STREETREET,209600,265000.0,0.7909433962264151,Residential,Single Family,25,
535,536,100011,2010,01/31/2011 12:00:00 AM,Andover,8 LAKE ROAD,145000,178000.0,0.814606741573034,Residential,Single Family,14,
550,551,100031,2010,07/06/2011 12:00:00 AM,Andover,82 BUNKER HILL ROAD,241500,350000.0,0.69,Residential,Single Family,,
558,559,100013,2010,04/11/2011 12:00:00 AM,Andover,85 HUTCHINSON ROAD,235800,285000.0,0.8273684210526321,Residential,Single Family,,
567,568,100004,2010,11/22/2010 12:00:00 AM,Andover,890 EAST STREETREET,212300,226500.0,0.9373068432671079,Residential,Single Family,14,
589,590,100015,2010,04/19/2011 12:00:00 AM,Andover,95 LAKESIDE DRIVE,225800,367500.0,0.6144217687074829,Residential,Single Family,,
635,636,100019,2010,04/20/2011 12:00:00 AM,Andover,LOT 11 HEBRON ROAD,55800,62000.0,0.9,Vacant Land,,17,
640,641,100014,2010,04/18/2011 12:00:00 AM,Andover,LOT 18 WEBSTER LANE,6200,6996.0,0.886220697541452,Vacant Land,,,
770,771,100017,2010,11/08/2010 12:00:00 AM,Ansonia,10 HAWLEY DRIVE,166400,205000.0,0.8117073170731708,Residential,Single Family,,
775,776,100095,2010,06/09/2011 12:00:00 AM,Ansonia,10 HUGHES CR,148700,182500.0,0.8147945205479449,Condo,,,
819,820,100114,2010,08/01/2011 12:00:00 AM,Ansonia,102 CLARKSON STREET,166700,194750.0,0.85596919127086,Residential,Single Family,,
883,884,100002,2010,10/04/2010 12:00:00 AM,Ansonia,11-13 ELLS STREET,212400,174000.0,1.2206896551724098,Residential,Two Family,,
894,895,100027,2010,11/29/2010 12:00:00 AM,Ansonia,11 CHERRY STREET,154800,190000.0,0.8147368421052629,Residential,Two Family,,
903,904,100034,2010,12/22/2010 12:00:00 AM,Ansonia,11 HAWLEY DRIVE,200500,265000.0,0.7566037735849058,Residential,Single Family,,
906,907,100110,2010,07/20/2011 12:00:00 AM,Ansonia,11 HOLBROOK STREET,179900,125199.0,1.43691243540284,Residential,Two Family,14,
914,915,100074,2010,04/15/2011 12:00:00 AM,Ansonia,11 MAY STREET,168000,165000.0,1.0181818181818199,Residential,Two Family,,
966,967,100085,2010,05/12/2011 12:00:00 AM,Ansonia,116 N CLIFF STREET,153000,206500.0,0.7409200968523,Residential,Single Family,,
969,970,100057,2010,03/17/2011 12:00:00 AM,Ansonia,116 PLATT STREET,117800,15000.0,7.85333333333333,Residential,Single Family,10,
985,986,100047,2010,01/27/2011 12:00:00 AM,Ansonia,119 N CLIFF STREET,156500,89400.0,1.7505592841163302,Residential,Single Family,07,
1023,1024,100118,2010,08/04/2011 12:00:00 AM,Ansonia,12 HAWKINS ROAD,121100,167000.0,0.725149700598802,Residential,Single Family,,
1026,1027,100015,2010,11/02/2010 12:00:00 AM,Ansonia,12 HUGHES CR,156900,184900.0,0.848566792861006,Condo,,,
1056,1057,100042,2010,01/18/2011 12:00:00 AM,Ansonia,12 WOODBRIDGE AVE,187100,135000.0,1.3859259259259298,Residential,Two Family,25,
1100,1101,100023,2010,11/23/2010 12:00:00 AM,Ansonia,126 PROSPECT STREET,147600,116196.0,1.27026747908706,Residential,Single Family,14,
1126,1127,100105,2010,07/11/2011 12:00:00 AM,Ansonia,13 BASSETT STREET,178700,99000.0,1.8050505050505001,Residential,Four Family,07,
1167,1168,100003,2010,10/05/2010 12:00:00 AM,Ansonia,131 HUBBELL AVE,206000,270000.0,0.762962962962963,Residential,Single Family,,
1192,1193,100050,2010,02/03/2011 12:00:00 AM,Ansonia,136 PULASKI HWY,186500,261000.0,0.71455938697318,Residential,Single Family,,
1209,1210,100011,2010,10/28/2010 12:00:00 AM,Ansonia,14 BERKSHIRE ROAD,156400,184000.0,0.85,Residential,Single Family,,
1221,1222,100104,2010,07/11/2011 12:00:00 AM,Ansonia,14 DEMPSEY CT,230000,296000.0,0.777027027027027,Residential,Single Family,,
1222,1223,100116,2010,08/01/2011 12:00:00 AM,Ansonia,14 EAGLE STREET,138700,119000.0,1.1655462184874,Residential,Two Family,,
1276,1277,100063,2010,03/30/2011 12:00:00 AM,Ansonia,143 JEWETT STREET,151200,55000.0,2.74909090909091,Residential,Single Family,14,
1288,1289,100056,2010,03/15/2011 12:00:00 AM,Ansonia,145 PLATT STREET,178900,185000.0,0.967027027027027,Residential,Single Family,,
1291,1292,100088,2010,05/25/2011 12:00:00 AM,Ansonia,146 HOWARD AVE,154700,125000.0,1.2376,Residential,Two Family,,
1304,1305,100053,2010,02/28/2011 12:00:00 AM,Ansonia,15 APPLEWOOD CONDO,137300,175000.0,0.7845714285714291,Condo,,,
1307,1308,100103,2010,07/08/2011 12:00:00 AM,Ansonia,15 BARTHOLOMEW AVE,203800,253000.0,0.805533596837945,Residential,Single Family,,
1314,1315,100058,2010,03/24/2011 12:00:00 AM,Ansonia,15 BUSWELL STREET,175800,168000.0,1.04642857142857,Residential,Two Family,,
1324,1325,100087,2010,05/20/2011 12:00:00 AM,Ansonia,15 FARREL DRIVE,191600,195000.0,0.9825641025641021,Residential,Single Family,,
1332,1333,100018,2010,11/08/2010 12:00:00 AM,Ansonia,15 LAROVERA TER,223300,308000.0,0.725,Residential,Single Family,,
1375,1376,100092,2010,06/01/2011 12:00:00 AM,Ansonia,154 SUNSET DRIVE,151500,154000.0,0.9837662337662341,Residential,Single Family,,
1376,1377,100072,2010,04/11/2011 12:00:00 AM,Ansonia,155 HODGE AVE,176800,207500.0,0.8520481927710841,Residential,Single Family,,
1390,1391,100094,2010,06/09/2011 12:00:00 AM,Ansonia,158 PULASKI HWY,178100,233000.0,0.7643776824034341,Residential,Single Family,,
1406,1407,100098,2010,06/15/2011 12:00:00 AM,Ansonia,16 DWIGHT STREET,198900,207000.0,0.960869565217391,Residential,Three Family,,
